video,canonical_index,timestamp_s,target_visible,state,category,explanation,pipeline_note
single_person,136,27.205494,True,Missing,geometry gate,target proposal failed position/scale geometry,no identity-safe association; LK disabled
single_person,137,27.386864,True,Missing,geometry gate,target proposal failed position/scale geometry,no identity-safe association; LK disabled
single_person,138,27.604508,True,Lost,geometry gate,target proposal failed position/scale geometry,no identity-safe association; Lost latched
single_person,139,27.785878,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,140,28.003522,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,141,28.184892,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,142,28.402536,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,143,28.583906,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,144,28.80155,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,145,28.98292,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,146,29.200563,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,147,29.381933,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,148,29.599577,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,149,29.817221,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,150,29.998591,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,246,49.187533,True,Missing,detector miss/confidence,target proposal confidence 0.031 is below 0.300,no identity-safe association; LK disabled
single_person,247,49.405177,True,Missing,detector miss/confidence,target proposal confidence 0.208 is below 0.300,no identity-safe association; LK disabled
single_person,251,50.203205,False,Missing,target leaving/occlusion,ground truth marks the target invisible on this frame,no identity-safe association; LK disabled
single_person,252,50.384575,False,Missing,target leaving/occlusion,ground truth marks the target invisible on this frame,no identity-safe association; LK disabled
single_person,253,50.602219,False,Lost,target leaving/occlusion,ground truth marks the target invisible on this frame,no identity-safe association; Lost latched
single_person,254,50.783589,False,Lost,target leaving/occlusion,ground truth marks the target invisible on this frame,Lost latched; explicit reselection required
single_person,255,51.001233,False,Lost,target leaving/occlusion,ground truth marks the target invisible on this frame,Lost latched; explicit reselection required
single_person,256,51.182603,False,Lost,target leaving/occlusion,ground truth marks the target invisible on this frame,Lost latched; explicit reselection required
single_person,257,51.400247,True,Lost,other,Lost latch prevented reacquisition; the target still lacked a usable detection,Lost latched; explicit reselection required
single_person,258,51.61789,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,259,51.79926,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
single_person,260,52.016904,True,Lost,other,Lost latch prevented reacquisition; a usable target detection was now present,Lost latched; explicit reselection required
